Indicators,Country,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
ageing,Somalia,99.39717853,99.82237491,100.201488,100.531964,100.8363553,101.0700168,101.2373756,101.4540185,101.7611202,102.11126,102.5231267,102.9974177,103.4567946,103.8729714,103.8350105,102.8661857,101.5136881,100.5371917,99.98555178,99.61938894,99.31997274,99.055876,98.77965166,98.4707367,98.13990665
publicdebt,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,
business,Somalia,,,198.2,195.2,203.6,176.5,180,,,,,,,,,,,,,,,,,,
gdp,Somalia,446.9815596,416.2177747,405.7867633,379.9860027,377.349072,387.1866816,387.6079944,377.5573872,356.1179025,,,,,,,,,,,,,,,,
GNI per capita growth (annual %),Somalia,,,,,,,,,,,,,,,,,,,,,,,,,
savings,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,
internet,Somalia,,,,,2.004048698,1.88,1.76,1.63,1.5,1.3767,1.25,,1.160610542,1.142687372,1.122235622,1.100216368,1.077327839,1.053454744,0.376198003,0.115614213,0.079039179,0.02,0.013910394,0.00716442,0.002948713
inflation,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,
immigration,Somalia,,,,,,,0.234455884,,,,,0.250424924,,,,,0.244126035,,,,,0.271981971,,,
gender,Somalia,21.09399986,20.88199997,21.08300018,21.02700043,20.97599983,20.92200089,20.8579998,20.78800011,20.71199989,20.64100075,20.59399986,20.58499908,20.55400085,20.55699921,20.58699989,20.63100052,20.68000031,20.68700027,20.70199966,20.73200035,20.79400063,20.90200043,20.98200035,21.0890007,21.21199989
education,Somalia,,,63.25999832,,,,,,,,,,,,,,,,,,,,,,
interest,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,
literacy,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,
militaryexp,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,
oil,Somalia,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
slums,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,
Real interest rate (%),Somalia,,,,,,,,,,,,,,,,,,,,,,,,,
ruralpop,Somalia,53.269,53.859,54.446,55.029,55.609,56.184,56.755,57.321,57.883,58.442,59,60.69,62.355,63.989,65.596,62.9,63.689,64.469,65.244,66.01,66.383,66.753,67.122,67.489,67.853
servicesector,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,
"Share of tariff lines with international peaks, all products (%)",Somalia,,,,,,,,,,,,,,,,,,,,,,,,,
"Share of tariff lines with specific rates, all products (%)",Somalia,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, applied, simple mean, all products (%)",Somalia,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, applied, simple mean, primary products (%)",Somalia,,,,,,,,,,,,,,,,,,,,,,,,,
Tariffs,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, applied, weighted mean, primary products (%)",Somalia,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, most favored nation, simple mean, all products (%)",Somalia,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, most favored nation, weighted mean, all products (%)",Somalia,,,,,,,,,,,,,,,,,,,,,,,,,
unemployment,Somalia,,,18.82999992,,,,,,,,,,,,,,,,,,,,,,
Exports,Solomon Islands,16711,11660,9826,11824,9258,8656,8061,4944,3680,3668,3068,2841,1614,1190,1018,501,508,332,212,107,102,,,,
Imports,Solomon Islands,32064,35524,46112,62932,55482,37627,46011,47383,40452,37770,34881,28705,17811,21499,18234,12486,9660,5795,3264,1822,594,,,,
electricity,Solomon Islands,,73.34648132,69.80941772,66.17976379,62.90000153,58.32719421,55.09999847,50.30675888,44.70000076,42.57421112,38.67999268,34.77480698,21.20000076,28.10349655,12.89999962,14.39999962,19.2557106,16.31374741,13.37124634,10.4258585,7.475236416,4.517029285,15.7,,
ageing,Solomon Islands,74.80910187,75.5459214,76.20407545,76.81441231,77.39348288,77.92854553,78.42196769,78.87246345,79.28024997,79.66842402,80.08911439,80.56287861,81.05366784,81.51920019,81.94595179,82.36550715,82.82979473,83.34278963,83.87006753,84.40667981,84.96262075,85.54728461,86.24619048,87.04704292,87.86331742
publicdebt,Solomon Islands,,11.46390032,7.74418283,7.685645856,8.402457923,6.259588741,6.737625634,8.720339804,10.1052824,11.59243936,13.92680834,,,,,,,,,,,,,,
business,Solomon Islands,,,27.4,28.1,28.9,28.5,31.4,35.5,47.5,47.9,54.5,78.5,70.1,93.5,101.8,117.2,135.5,122.3,145.5,,,,,,
gdp,Solomon Islands,2304.844567,2222.465636,2398.772757,2450.484428,2283.576156,2196.270903,2134.802451,2235.747344,2208.095867,2087.518739,1921.346043,1661.998091,1526.167865,1504.530796,1377.862006,1250.946937,1145.862445,991.9943826,905.5874727,768.4916623,929.8638476,976.4342171,1164.11019,1121.132186,1326.180471
GNI per capita growth (annual %),Solomon Islands,,-2.339445284,-0.35270381,0.984168217,1.692502361,1.68175452,-1.599889963,-2.760339238,8.114063083,2.597190292,2.945626667,9.620013204,1.128899852,1.29143895,-2.041659524,-1.185232448,4.819313574,6.724810955,5.598986959,-7.219579914,-9.159357395,-13.89811243,-5.151963937,-1.277750424,-4.017866683
savings,Solomon Islands,,18.63403159,13.11521325,15.0877167,15.11957424,9.711083889,11.43679068,10.49445148,15.42852689,15.51632275,18.51233477,13.7889651,12.98602119,11.7769629,15.36481779,12.72933153,2.701818563,16.88338853,22.18229856,-4.502896636,-19.64361847,-6.78897183,6.189034682,7.716762581,-7.481758162
internet,Solomon Islands,,,,,11.92422906,11.00090227,10.00046498,9,8,6.9974,6,5,4,3,2,1.646347989,0.844307573,0.649672673,0.555609882,0.501919843,0.468551964,0.481296806,0.494541498,0.508292797,0.391923246
inflation,Solomon Islands,-0.115437894,2.963549921,1.63485544,3.46147485,0.48868676,0.512485626,-0.574469286,5.165902379,5.391363886,5.912006025,7.34270706,1.051481633,7.092717169,17.3200652,7.666020135,11.21998702,7.330663416,6.985842027,8.269463493,10.92963419,6.925837321,7.88956187,8.020368393,12.39950381,8.084001355
immigration,Solomon Islands,,,,,,,0.442947201,,,,,0.524538321,,,,,0.696986614,,,,,0.965474758,,,
gender,Solomon Islands,82.29399872,81.50800323,82.26799774,82.18599701,82.23400116,82.34700012,82.48100281,82.39700317,82.28800201,82.3769989,82.29399872,82.47399902,82.72599792,82.68599701,82.81099701,82.86799622,82.94200134,83.05000305,83.21600342,83.3769989,83.04599762,82.41899872,81.41000366,81.1989975,81.07299805
education,Solomon Islands,,,,,,,,,94.66000366,,,,,,,,,,,,,,,,
interest,Solomon Islands,5.175708589,10.68257074,10.59515703,10.74865181,10.69473065,10.09984012,10.47833333,10.91,10.77416667,11.27833333,13.17333333,14.43333333,10.16666667,8,8,8.166666667,9.25,10,10,10,10,10.33333333,14.04166667,14,14.66666667
literacy,Solomon Islands,,,,,,,,,,,,,76.59999847,,,,,,,,,,76.59999847,,
militaryexp,Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,
oil,Solomon Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slums,Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,
Real interest rate (%),Solomon Islands,1.085063553,12.16880542,9.240185434,2.68017281,7.914122901,9.72136458,6.889235487,6.983413886,8.228339217,6.331583252,8.323860535,12.47041208,5.047565475,1.475946838,-1.184274732,-0.163419216,-1.309227822,6.010979455,-12.62010459,-1.149455302,0.084614949,4.522841874,5.913268936,2.561627714,5.709652654
ruralpop,Solomon Islands,74.872,75.33,75.79,76.251,76.714,77.177,77.64,78.104,78.567,79.03,79.492,79.952,80.411,80.862,81.306,81.741,82.168,82.587,82.999,83.403,83.799,84.187,84.504,84.715,84.924
servicesector,Solomon Islands,,48.63596735,49.17183013,48.15405811,49.32199296,49.65798402,51.09209115,48.11224024,50.17944813,47.70633783,46.1049265,48.45367941,48.84262113,48.06982544,47.70318021,46.64040877,45.2173913,37.99137857,37.29186603,,,,,,
"Share of tariff lines with international peaks, all products (%)",Solomon Islands,,1.578628,1.47715,2.422957,3.47543,3.952046,3.812989,,,,,,,3.770028,,,,,,,,,,,
"Share of tariff lines with specific rates, all products (%)",Solomon Islands,,0,0.2923527,0.499735,0.499735,0.3972956,0.8227197,,,,,,,2.073516,,,,,,,,,,,
"Tariff rate, applied, simple mean, all products (%)",Solomon Islands,,11.86,16.85,12.24,10.09,10.78,10.72,,,,,,,10.8,,,,,,,,,,,
"Tariff rate, applied, simple mean, primary products (%)",Solomon Islands,,17.91,45.74,35.27,20.21,23.66,22.49,,,,,,,14.75,,,,,,,,,,,
Tariffs,Solomon Islands,,13.62,17.52,30.28,18.49,14.08,35.65,,,,,,,14.6,,,,,,,,,,,
"Tariff rate, applied, weighted mean, primary products (%)",Solomon Islands,,17.21,34.3,63.69,33.62,21.87,60.26,,,,,,,17.09,,,,,,,,,,,
"Tariff rate, most favored nation, simple mean, all products (%)",Solomon Islands,,11.18,16.03,12.41,10.9,11.04,11.02,,10.16,,10.22,10.19,,10.22,10.31,14.53,,,,,,,,,
"Tariff rate, most favored nation, weighted mean, all products (%)",Solomon Islands,,13.62,18.01,30.69,18.91,14.6,36.09,,,,,,,14.62,,,,,,,,,,,
unemployment,Solomon Islands,,,,,,,,,0.689999998,,,,2.019999981,,,,,,,,,,,,
Exports,Society Islands,77,51,86,222,305,281,375,402,428,396,345,329,323,392,358,473,572,391,323,274,313,,,,
Imports,Society Islands,,0,0,0.1,,,,,,,,,,0.8,1.4,1.2,0,0,0.5,,6,,,,
Exports,Slovenia,536313,345219,341152,442423,288693,227026,209174,199194,183281,156664,167537,138556,77002,96421,69293,44644,26557,20690,15129,9544,7717,5562,4791,3419,
Imports,Slovenia,63207,50868,51647,59102,49535,43686,28951,33146,30280,25603,20204,17657,12647,13156,11055,9490,5724,4196,3603,2955,1270,1430,1014,196,
fdi,Slovenia,1023,4125,1160,421,37,55,3,6,86,269,410,69,161,86,285,104,83,,,,,,,,
electricity,Slovenia,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ageing,Slovenia,55.49527594,54.56796477,53.55531013,52.3385232,51.07969529,49.89406003,48.73324569,47.50016274,46.29592805,45.2037071,44.25575064,43.78809074,43.54633708,43.04409117,42.48792315,42.11698123,41.94896583,41.91588851,42.07114189,42.36880425,42.57035442,42.69712902,42.88900162,43.13667988,43.41227683
publicdebt,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,
business,Slovenia,,,0,0,0,0,0,0,0,0,0,0,0,0.1,8.5,9.4,12,13.5,14.8,,,,,,
gdp,Slovenia,29291.40062,25545.241,26016.07868,26123.74713,23514.02546,21678.35947,20890.16643,24247.17332,23503.28249,22641.80512,25128.01504,23532.48085,24792.12798,27595.59997,23817.88673,19672.96556,18098.90854,17233.13856,14849.03724,11777.15566,10479.75963,10201.30354,11452.78312,11175.77103,10454.96564
GNI per capita growth (annual %),Slovenia,5.410970287,-3.866462776,2.926061176,4.389059158,5.145852766,4.144209578,0.761665315,3.851394606,-0.453402996,-3.760033588,-0.277091444,-1.226425257,-5.642385007,2.171808599,5.948232418,4.708484244,2.775237897,3.278145967,3.04443136,3.568057014,4.162584744,1.444996197,5.630750433,3.954460202,5.088492018
savings,Slovenia,25.88455821,27.64580489,26.657647,27.39454031,26.47405671,23.45569394,23.08998954,24.44341497,21.91622722,20.36760622,21.56766073,21.90986141,22.38672837,27.41361775,28.72585122,28.42961124,26.54947314,25.68133814,25.28183466,25.80446557,26.17082745,25.55144766,25.23068617,25.88249119,25.56401514
internet,Slovenia,89.00399524,86.60130109,83.1083578,79.7499766,78.88542636,75.49850426,73.09865997,71.59,72.6756,68.34997453,67.33999481,70,64,58,56.74,54.01,46.81,40.81,31.85479301,27.83888542,30.17591047,15.11025956,12.61093843,10.10460285,7.591923004
inflation,Slovenia,1.917065061,-0.054856816,1.630522608,1.73860862,1.429107433,-0.054999542,-0.525552286,0.199343827,1.769200859,2.59741386,1.802851719,1.801170221,0.839262247,5.647423806,3.657495633,2.457924442,2.451501323,3.592975942,5.544164218,7.480777707,8.379665875,8.911744187,6.155587545,7.891166829,8.359679907
immigration,Slovenia,,,,,,,11.41296409,,,,,12.36484643,,,,,9.880983029,,,,,8.599694668,,,
gender,Slovenia,54.06800079,53.16199875,53.21500015,53.72600174,53.79100037,51.9980011,51.88700104,52.22100067,51.5929985,52.21900177,52.32699966,53.26300049,53.61800003,53.57600021,53.32300186,53.25299835,52.88499832,52.83200073,50.18799973,51.92499924,51.14599991,51.43700027,51.45299911,53.38999939,52.38299942
education,Slovenia,79.30999756,79.98000336,80.23999786,79.81999969,79.69999695,77.97000122,76.90000153,76.94999695,77.27999878,78.58999634,80.25,80.09999847,80.18000031,80.41999817,81.37999725,80.37000275,79.44999695,79.91000366,79.62999725,79.25,78.20999908,77.97000122,79.16999817,78.01000214,80.34999847
interest,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,
literacy,Slovenia,,,,,,,,99.69999695,,,,,,,,,,99.69999695,,,99.59999847,,,,
militaryexp,Slovenia,1.218075787,1.061425289,1.057303395,0.978114789,0.981831089,1.004287078,0.930119532,0.973739588,1.046948256,1.166791234,1.292170764,1.603125212,1.586156825,1.492919141,1.442914542,1.542182213,1.420197162,1.430651945,1.403798337,1.387618576,1.300482474,1.093166275,1.211302468,1.361182469,1.401368318
oil,Slovenia,,0.001288775,,,,6.74E-05,8.76E-05,0.000179363,0.000205609,0.000236303,0.000220807,0.000155008,0.000103136,0.000177053,0.000145426,0.000162414,0.000147184,0.000127819,0.000181687,0.00027077,0.000287307,0.000573507,0.000226039,6.45E-05,0.000271577
slums,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,
Real interest rate (%),Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,
ruralpop,Slovenia,44.573,44.882,45.178,45.459,45.727,45.98,46.219,46.443,46.668,46.892,47.117,47.342,47.567,47.791,48.017,48.242,48.467,48.692,48.918,49.143,49.22,49.246,49.272,49.299,49.325
servicesector,Slovenia,57.70800023,57.07946979,56.42431422,56.55818085,56.70179438,56.66835554,56.33595153,56.28847488,56.97339189,57.46210163,58.11539296,58.75645547,58.31627795,55.93483078,54.91316567,55.61820255,55.60835683,55.04893571,55.03036061,54.38825171,54.40513584,53.77534819,52.27556129,51.95832819,52.52685084
"Share of tariff lines with international peaks, all products (%)",Slovenia,,1.813626,5.697177,5.339829,5.435838,5.496077,5.766603,5.722713,4.921036,4.976868,4.865139,5.3808,4.646175,4.742306,5.870751,6.039214,4.780674,5.721504,8.349668,8.094247,6.488461,5.60611,6.025379,6.800004,8.83796
"Share of tariff lines with specific rates, all products (%)",Slovenia,,8.122205,0.9538649,0.9019911,0.8638234,0.6346312,0.8827925,0.9022391,0.9322362,0.9842589,0.9347487,0.9867887,1.02311,0.8433674,0.9357632,1.014029,1.010172,1.491698,1.229806,1.35586,1.375752,1.241509,6.68091,1.855131,1.27412
"Tariff rate, applied, simple mean, all products (%)",Slovenia,,1.71,2.55,2.46,2.48,2.48,2.73,2.76,2.21,2.28,2.3,2.78,2.44,2.37,2.53,2.75,2.68,2.64,2.54,2.57,4.26,3.3,4.31,3.9,3.47
"Tariff rate, applied, simple mean, primary products (%)",Slovenia,,2.21,5.87,5.24,5.16,5.32,5.69,5.72,5.38,5.6,5.84,6.3,6.25,5.94,6.51,7.24,7.36,6.85,6.54,6.42,9.87,7.93,9.51,9.21,9.61
Tariffs,Slovenia,,1.48,1.84,1.83,1.96,2.09,2.02,2.03,1.49,1.46,1.59,2.13,1.85,1.72,2.24,2.3,2.46,2.24,2.52,2.45,3.37,2.41,3.48,3.47,3.66
"Tariff rate, applied, weighted mean, primary products (%)",Slovenia,,0.83,1.64,1.59,1.84,2.1,1.69,1.69,1.33,1.19,1.4,1.55,1.87,1.56,2.04,2.06,2.63,2.77,3.35,2.92,4.8,3.14,5.61,5.48,5.12
"Tariff rate, most favored nation, simple mean, all products (%)",Slovenia,,4.32,6.16,5.6,5.62,5.69,5.72,5.71,5.71,5.76,5.61,5.6,5.44,5.47,5.57,5.94,5.97,5.83,6,6.13,6.48,6.19,6.79,7.14,7.97
"Tariff rate, most favored nation, weighted mean, all products (%)",Slovenia,,2.8,3.08,3.11,3.27,3.29,3.09,3.07,2.95,2.84,3,3.08,3.23,2.99,3.23,3.33,3.54,3.64,4.01,3.91,4.07,3.75,4.52,4.86,5.67
unemployment,Slovenia,4.739999771,4.989999771,4.449999809,5.130000114,6.570000172,8.020000458,9,9.720000267,10.14000034,8.880000114,8.199999809,7.260000229,5.889999866,4.409999847,4.869999886,5.989999771,6.550000191,6.329999924,6.710000038,6.349999905,6.389999866,6.920000076,7.320000172,7.389999866,6.650000095
electricity,Slovak Republic,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ageing,Slovak Republic,49.49809122,48.51368701,47.28368254,45.91591065,44.51160932,43.12002184,41.93517322,41.02152103,40.24347687,39.5918891,39.12425971,38.84793945,38.65831828,38.68034315,39.00013707,39.47424982,40.06235646,40.73441091,41.56539375,42.55741099,43.68005808,44.89393745,46.08767502,47.24194972,48.32564743
publicdebt,Slovak Republic,,77.36130426,61.9874187,62.29037578,64.35388113,66.41586188,64.83448553,65.8810865,63.21077128,58.48775229,48.58053773,45.56012091,42.04436507,34.03770555,34.99149159,36.60979828,38.61380134,44.10518805,45.67213181,47.47811516,53.36995841,53.94445171,47.43738583,37.06398228,
business,Slovak Republic,,,1,1,1.1,1.1,1.5,1.5,1.5,1.8,1.8,1.9,2,3.3,4.2,4.8,5,5.7,9.4,,,,,,
gdp,Slovak Republic,21391.92533,19545.74282,19383.48104,19486.39368,17585.197,16563.4405,16390.88217,18719.98814,18276.00955,17498.3539,18509.74022,16908.84796,16597.20846,18753.58494,16106.06044,13170.78498,11690.11347,10691.44655,8731.937368,6564.696314,5722.168183,5426.624281,5645.581396,5538.616465,5146.671078
GNI per capita growth (annual %),Slovak Republic,2.383308727,-2.67165748,1.281299763,3.535007093,3.146000277,1.207947333,3.377581604,2.077737063,0.89769305,1.857926876,0.008233192,4.300231973,-5.213746207,5.236388939,9.75376897,6.996790213,8.073802336,6.231509739,0.558689003,4.246259693,3.273622364,3.055132989,-1.311780595,2.936293624,6.338097516
savings,Slovak Republic,19.04215028,19.60756249,20.5398688,22.45669326,21.84211592,21.85809746,23.66705734,23.77320786,23.76093685,23.15103024,21.85800604,21.26542174,18.28056376,23.83126939,25.10471938,23.00498742,23.57730435,21.18266959,20.80849773,23.96964481,23.95706855,24.69224428,24.72609434,24.81924696,25.31572351
internet,Slovak Republic,88.92562911,89.9209082,82.8536605,80.44892248,81.62566752,80.47585728,77.63468203,79.98,77.8826,76.70999012,74.43999717,75.71,70,66.05,61.8,56.08,55.19,52.89,43.04,40.14,12.52832185,9.426803201,5.437758139,2.689809786,1.173381014
inflation,Slovak Republic,3.149606299,1.936941267,2.664561334,2.514037129,1.311945882,-0.520010196,-0.325219777,-0.07616533,1.40047369,3.606102635,3.919285991,0.957018133,1.615104641,4.598179763,2.756723716,4.483331204,2.709084946,7.548500882,8.554143054,3.12714223,7.329620191,12.0357806,10.57044161,6.665651232,6.141989996
immigration,Slovak Republic,,,,,,,3.265417899,,,,,2.706155251,,,,,2.423144802,,,,,2.160686884,,,
gender,Slovak Republic,55.12599945,51.91500092,52.29499817,52.28099823,52.67499924,52.54700089,51.94400024,51.07799911,51.02600098,50.67900085,50.14199829,50.79399872,50.29199982,50.98600006,50.58800125,50.70800018,51.29399872,52.54299927,52.64699936,52.36700058,52.85300064,52.26300049,51.60300064,51.1269989,51.73400116
education,Slovak Republic,78.5,74.58000183,74.75,73.70999908,74.06999969,74.34999847,74.12000275,74.20999908,74.69999695,75.05000305,75.94000244,,,,,,81.20999908,80.91000366,83.66999817,85.19999695,85.59999847,84.72000122,85.87999725,87.94999695,
interest,Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,
literacy,Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,
militaryexp,Slovak Republic,1.705815802,1.950493669,1.711891199,1.227775557,1.107257552,1.1195561,1.114488089,0.985973491,0.979196941,1.079159532,1.074265864,1.259740404,1.516486667,1.459385052,1.478388924,1.596512608,1.681440946,1.652006017,1.841111076,1.77602684,1.84316099,1.655312382,1.57382655,1.744336533,2.283116245
oil,Slovak Republic,,0.000693551,0.001037855,0.001430308,0.001180773,0.001083985,0.001721165,0.003222745,0.004078416,0.005173217,0.006934737,0.004320483,0.003533831,0.007130086,0.007174371,0.010254289,0.010625595,0.009785019,0.00975326,0.011489426,0.012939819,0.023696581,0.011125882,0.002870744,0.013025384
slums,Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,
Real interest rate (%),Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,
ruralpop,Slovak Republic,46.18,46.24,46.271,46.274,46.249,46.194,46.111,46,45.86,45.72,45.58,45.315,45.04,44.889,44.739,44.588,44.437,44.287,44.137,43.987,43.837,43.767,43.706,43.645,43.584
servicesector,Slovak Republic,59.13682514,59.75706726,57.94136318,58.13933406,58.78287623,58.53540723,57.27120474,57.01964693,59.61117339,58.16834106,57.7074567,58.45653309,58.95802326,54.52980582,53.71658711,53.40562628,54.8383141,54.88930044,56.52243429,58.15053778,57.47083531,57.20541888,58.43392209,57.94860733,58.76883287
"Share of tariff lines with international peaks, all products (%)",Slovak Republic,,1.813626,5.697177,5.339829,5.435838,5.496077,5.766603,5.722713,4.921036,4.976868,4.865139,5.3808,4.646175,4.742306,5.870751,6.039214,4.780674,5.721504,8.349668,8.094247,6.488461,5.60611,6.025379,6.800004,8.83796
"Share of tariff lines with specific rates, all products (%)",Slovak Republic,,8.122205,0.9538649,0.9019911,0.8638234,0.6346312,0.8827925,0.9022391,0.9322362,0.9842589,0.9347487,0.9867887,1.02311,0.8433674,0.9357632,1.014029,1.010172,1.491698,1.229806,1.35586,1.375752,1.241509,6.68091,1.855131,1.27412
"Tariff rate, applied, simple mean, all products (%)",Slovak Republic,,1.71,2.55,2.46,2.48,2.48,2.73,2.76,2.21,2.28,2.3,2.78,2.44,2.37,2.53,2.75,2.68,2.64,2.54,2.57,4.26,3.3,4.31,3.9,3.47
"Tariff rate, applied, simple mean, primary products (%)",Slovak Republic,,2.21,5.87,5.24,5.16,5.32,5.69,5.72,5.38,5.6,5.84,6.3,6.25,5.94,6.51,7.24,7.36,6.85,6.54,6.42,9.87,7.93,9.51,9.21,9.61
Tariffs,Slovak Republic,,1.48,1.84,1.83,1.96,2.09,2.02,2.03,1.49,1.46,1.59,2.13,1.85,1.72,2.24,2.3,2.46,2.24,2.52,2.45,3.37,2.41,3.48,3.47,3.66
"Tariff rate, applied, weighted mean, primary products (%)",Slovak Republic,,0.83,1.64,1.59,1.84,2.1,1.69,1.69,1.33,1.19,1.4,1.55,1.87,1.56,2.04,2.06,2.63,2.77,3.35,2.92,4.8,3.14,5.61,5.48,5.12
"Tariff rate, most favored nation, simple mean, all products (%)",Slovak Republic,,4.32,6.16,5.6,5.62,5.69,5.72,5.71,5.71,5.76,5.61,5.6,5.44,5.47,5.57,5.94,5.97,5.83,6,6.13,6.48,6.19,6.79,7.14,7.97
"Tariff rate, most favored nation, weighted mean, all products (%)",Slovak Republic,,2.8,3.08,3.11,3.27,3.29,3.09,3.07,2.95,2.84,3,3.08,3.23,2.99,3.23,3.33,3.54,3.64,4.01,3.91,4.07,3.75,4.52,4.86,5.67
unemployment,Slovak Republic,6.889999866,6.71999979,5.760000229,6.539999962,8.140000343,9.680000305,11.48999977,11.53999996,14.22999954,13.97000027,13.63000011,14.39000034,12.02000046,9.510000229,11.15999985,13.39000034,16.28000069,18.20999908,17.54999924,18.71999931,19.37999916,19.05999947,16.36000061,12.18999958,11.89000034
Exports,Slovak,454531,303155,292382,253585,272948,286234,279447,282850,308444,242303,251260,195848,139906,196604,147060,57728,30836,15987,13707,9173,6138,5562,2710,3224,
Imports,Slovak,754723,643108,596878,524563,258496,241017,223732,337608,345816,365523,345735,179056,89745,98373,73531,33640,18302,12853,12212,3787,1289,1430,197,233,
fdi,Slovak,,2,110,2877,44,66,1071,360,845,429,486,32,11,16,109,90,97,207,1175,69,1145,46,10,180,8
electricity,Sint Maarten ,,100,100,100,100,100,100,100,100,100,100,100,99.95490265,99.9841156,99.99740601,100,100,100,100,100,100,100,100,100,100
ageing,Sint Maarten ,27.17046095,27.2481203,27.56146913,28.13322471,29.36075243,31.25779967,33.55233738,36.18328334,39.04736582,39.48618829,38.14973969,37.99991896,38.00636866,38.00893946,37.95185639,37.91809296,38.10818726,38.60659584,39.26896186,40.02274795,40.70259334,41.01095042,41.10490717,41.23152041,41.30730205
publicdebt,Sint Maarten ,,,,,,,,,,,,,,,,,,,,,,,,,
business,Sint Maarten ,,,,,,,,,,,,,,,,,,,,,,,,,
gdp,Sint Maarten ,,,,28988.25921,29369.05683,31616.6817,32274.89055,33043.68838,27942.88054,28460.33262,27997.28983,,,,,,,,,,,,,,
GNI per capita growth (annual %),Sint Maarten ,,,,-7.201060434,-9.086758187,-1.674760798,-2.110724984,-2.841454126,-2.782507627,-1.211716606,,,,,,,,,,,,,,,
savings,Sint Maarten ,,,,45.25719453,25.53229866,17.50265252,18.99465002,14.88021534,15.88853086,18.05100017,8.157316782,,,,,,,,,,,,,,
internet,Sint Maarten ,,,,,,,,,,,,,,,,,,,,,,,,,
inflation,Sint Maarten ,,,,,2.19201011,0.111682656,0.330027165,1.886754663,2.528647885,4.015184211,4.584754357,1.338576217,5.957636888,-0.41792902,4.432457542,0.300601202,,,,,,,,,
immigration,Sint Maarten ,,,,,,,70.44779972,,,,,79.09433962,,,,,40.27299557,,,,,,,,
gender,Sint Maarten ,,,,,,,,,,,,,,,,,,,,,,,,,
education,Sint Maarten ,,,,,,,,,,,,,,,,,,,,,,,,,
interest,Sint Maarten ,,,,,,,,,,,,,,,,,,,,,,,,,
literacy,Sint Maarten ,,,,,,,,,,,,,,,,,,,,,,,,,
militaryexp,Sint Maarten ,,,,,,,,,,,,,,,,,,,,,,,,,
oil,Sint Maarten ,,,,,,,,,,,,,,,,,,,,,,,,,
slums,Sint Maarten ,,,,,,,,,,,,,,,,,,,,,,,,,
Real interest rate (%),Sint Maarten ,,,,,,,,,,,,,,,,,,,,,,,,,
ruralpop,Sint Maarten ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
servicesector,Sint Maarten ,,,,,69.06704173,69.57117595,69.07267053,67.65814266,78.83670126,78.05859353,77.75125328,,,,,,,,,,,,,,
"Share of tariff lines with international peaks, all products (%)",Sint Maarten ,,,,,,,,,,,,,,,,,,,,,,,,,
"Share of tariff lines with specific rates, all products (%)",Sint Maarten ,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, applied, simple mean, all products (%)",Sint Maarten ,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, applied, simple mean, primary products (%)",Sint Maarten ,,,,,,,,,,,,,,,,,,,,,,,,,
Tariffs,Sint Maarten ,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, applied, weighted mean, primary products (%)",Sint Maarten ,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, most favored nation, simple mean, all products (%)",Sint Maarten ,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, most favored nation, weighted mean, all products (%)",Sint Maarten ,,,,,,,,,,,,,,,,,,,,,,,,,
unemployment,Sint Maarten ,,,,,,,,,,,,,,,,,,,,,,,,,
